Наименование объекта,Объем бюджетных ассигнований на обеспечение деятельности,Фактически начисленные расходы на обеспечение деятельности,Код разреза,Код признака,ОГРН организации,ИНН организации,КПП организации,"Номер реестровой записи, Реестр участников и неучастников бюджетного процесса",Код организации по Сводному реестру,Отчетный период-год
Государственная Дума Федерального Собрания Российской Федерации,11 779,10 956,OKEI,385,1037700000293,7707210781,770701001,11000330081,100330,2021
Совет Федерации Федерального Собрания Российской Федерации,5 936,5 925,OKEI,385,,,,11000333051,100333,2021
Администрация Президента Российской Федерации,15 514,14 909,OKEI,385,,,,,,2021
Счетная палата Российской Федерации,3 863,3 856,OKEI,385,1027700499859,7702166610,770401001,11000305091,100305,2021
Уполномоченный по правам человека в Российской Федерации,802,790,OKEI,385,1037739605078,7708106342,770801001,11000302021,100302,2021
Центральная избирательная комиссия Российской Федерации,882,846,OKEI,385,1027700466640,7710010990,771001001,11000308061,100308,2021
Правительство Российской Федерации,8 412,8 343,OKEI,385,,,,000000000110D0179081,001D0179,2021
МЧС России,143 875,144 942,OKEI,385,1027739591010,7707034952,770701001,11000177041,100177,2021
МИД России,11 278,10 879,OKEI,385,1037704021574,7704206201,770401001,11000310021,100310,2021
Россотрудничество,979,846,OKEI,385,5087746542164,7704706758,770401001,00000000011000095031,100095,2021
ФСВТС России,634,615,OKEI,385,1047705052427,7705513237,770501001,11000721051,100721,2021
Минюст России,4 598,4 557,OKEI,385,1037739668834,7707211418,770601001,11000318041,100318,2021
ФСИН России,26 056,22 595,OKEI,385,1047797031479,7706562710,770601001,11000320001,100320,2021
ФССП России,68 895,70 942,OKEI,385,1047796859791,7709576929,770201001,11000322081,100322,2021
ГФС России,4 064,4 111,OKEI,385,1027739185198,7709133821,770901001,11000089011,100089,2021
Росфинмониторинг,2 891,2 273,OKEI,385,1047708022548,7708234633,770801001,11000724021,100724,2021
Росархив,98,96,OKEI,385,1047710027683,7710474216,770601001,11000155001,100155,2021
Управление делами Президента Российской Федерации,1 455,1 367,OKEI,385,1027739643997,7710023340,771001001,11000303011,100303,2021
Минздрав России,1 602,1 507,OKEI,385,1127746460896,7707778246,770701001,11000056001,100056,2021
Росздравнадзор,2 296,2 287,OKEI,385,1047796244396,7710537160,770901001,11000060041,100060,2021
Минкультуры России,1 227,1 129,OKEI,385,1087746878295,7705851331,770301001,11000054021,100054,2021
Минобрнауки России,3 016,2 981,OKEI,385,1047796287440,7710539135,771001001,11000074081,100074,2021
Минприроды России,1 172,1 159,OKEI,385,1027700221450,7710256289,770301001,11000051051,100051,2021
Росгидромет,386,381,OKEI,385,1037739532192,7703092752,770301001,11000169041,100169,2021
Росприроднадзор,4 574,4 461,OKEI,385,1047703033300,7703381225,770301001,11000048011,100048,2021
Росводресурсы,1 033,1 026,OKEI,385,1047796365760,7728513882,772801001,11000052041,100052,2021
Рослесхоз,1 208,1 275,OKEI,385,1047796366298,7705598840,770501001,11000053031,100053,2021
Роснедра,2 380,2 400,OKEI,385,1047796345805,7703518529,770301001,11000049001,100049,2021
Минпромторг России,3 966,3 409,OKEI,385,1047796323123,7705596339,770501001,11000020031,100020,2021
Росстандарт,881,878,OKEI,385,1047706034232,7706406291,770601001,11000172091,100172,2021
Минпросвещения России,1 258,1 255,OKEI,385,1187746728840,7707418081,770701001,11000073091,100073,2021
Минвостокразвития России,1 201,1 255,OKEI,385,1122721008200,2721194275,770901001,11000350031,100350,2021
Минсельхоз России,4 603,4 555,OKEI,385,1067760630684,7708075454,770801001,11000082081,100082,2021
Россельхознадзор,8 796,8 961,OKEI,385,1047796296437,7708523530,770801001,11000081091,100081,2021
Росрыболовство,3 842,3 969,OKEI,385,1087746846274,7702679523,770201001,11000076061,100076,2021
Минспорт России,1 110,881,OKEI,385,1127746520824,7703771271,770901001,11000777081,100777,2021
Минстрой России,932,924,OKEI,385,1127746554320,7707780887,770701001,11000069051,100069,2021
Минтранс России,2 238,2 034,OKEI,385,1047702023599,7702361427,770201001,11000103031,100103,2021
Ространснадзор,5 593,6 191,OKEI,385,1047796301057,7714549751,771401001,11000106001,100106,2021
Росавиация,2 123,2 441,OKEI,385,1047796301002,7714549744,771401001,11000107091,100107,2021
Росавтодор,465,452,OKEI,385,1047796331494,7717509757,771701001,11000108081,100108,2021
Росжелдор,566,532,OKEI,385,1047796350910,7708525167,770101001,11000109071,100109,2021
Росморречфлот,381,371,OKEI,385,1047796291950,7707516988,770701001,11000110041,100110,2021
